# num_dtau=10 dt=1.000000e-05 ncor=2000
time_lag,MSD,count
7.380000e-02,8.214168e-04,2696820
7.390000e-02,8.236422e-04,2696680
7.400000e-02,8.258707e-04,2696540
7.410000e-02,8.281022e-04,2696400
7.420000e-02,8.303367e-04,2696260
7.430000e-02,8.325742e-04,2696120
7.440000e-02,8.348146e-04,2695980
7.450000e-02,8.370581e-04,2695840
7.460000e-02,8.393046e-04,2695700
7.470000e-02,8.415540e-04,2695560
7.480000e-02,8.438065e-04,2695420
7.490000e-02,8.460620e-04,2695280
7.500000e-02,8.483204e-04,2695140
7.510000e-02,8.505819e-04,2695000
7.520000e-02,8.528463e-04,2694860
7.530000e-02,8.551138e-04,2694720
7.540000e-02,8.573842e-04,2694580
7.550000e-02,8.596577e-04,2694440
7.560000e-02,8.619341e-04,2694300
7.570000e-02,8.642136e-04,2694160
7.580000e-02,8.664960e-04,2694020
7.590000e-02,8.687814e-04,2693880
7.600000e-02,8.710699e-04,2693740
7.610000e-02,8.733613e-04,2693600
7.620000e-02,8.756557e-04,2693460
7.630000e-02,8.779531e-04,2693320
7.640000e-02,8.802535e-04,2693180
7.650000e-02,8.825569e-04,2693040
7.660000e-02,8.848634e-04,2692900
7.670000e-02,8.871728e-04,2692760
7.680000e-02,8.894852e-04,2692620
7.690000e-02,8.918006e-04,2692480
7.700000e-02,8.941190e-04,2692340
7.710000e-02,8.964403e-04,2692200
7.720000e-02,8.987647e-04,2692060
7.730000e-02,9.010921e-04,2691920
7.740000e-02,9.034225e-04,2691780
7.750000e-02,9.057558e-04,2691640
7.760000e-02,9.080922e-04,2691500
7.770000e-02,9.104316e-04,2691360
7.780000e-02,9.127739e-04,2691220
7.790000e-02,9.151193e-04,2691080
7.800000e-02,9.174676e-04,2690940
7.810000e-02,9.198190e-04,2690800
7.820000e-02,9.221733e-04,2690660
7.830000e-02,9.245306e-04,2690520
7.840000e-02,9.268910e-04,2690380
7.850000e-02,9.292543e-04,2690240
7.860000e-02,9.316206e-04,2690100
7.870000e-02,9.339899e-04,2689960
7.880000e-02,9.363622e-04,2689820
7.890000e-02,9.387375e-04,2689680
7.900000e-02,9.411158e-04,2689540
7.910000e-02,9.434971e-04,2689400
7.920000e-02,9.458814e-04,2689260
7.930000e-02,9.482686e-04,2689120
7.940000e-02,9.506589e-04,2688980
7.950000e-02,9.530522e-04,2688840
7.960000e-02,9.554484e-04,2688700
7.970000e-02,9.578477e-04,2688560
7.980000e-02,9.602499e-04,2688420
